Title;Format;Year;Rating
Tengen Toppa Gurren Lagann: Guren-Hen;Movie;2008;4.28
Ghost in the Shell 2.0;Movie;2008;4.28
Kanon (2006);TV;2006;4.28
Sword Art Online Movie: Ordinal Scale;Movie;2017;4.28
The Labyrinth of Grisaia;TV Special;2015;4.28
Break Blade Movie 2: Ketsubetsu no Michi;Movie;2010;4.28
Ajin 2nd Season;TV;2016;4.28
Sekai-ichi Hatsukoi: World's Greatest First Love;TV;2011;4.28
Spice and Wolf II OVA;OVA;2009;4.28
The Eden of Grisaia;TV;2015;4.28
Break Blade Movie 6: Doukoku no Toride;Movie;2011;4.28
The Devil is a Part-Timer!;TV;2013;4.28
Soul Eater;TV;2008;4.28
K-On!!;TV;2010;4.28
Hyouka;TV;2012;4.28
Yaoshenji 2nd Season;Web;2018;4.28
Berserk: Golden Age Arc I - The Egg of the King;Movie;2012;4.28
Hidamari Sketch: Sae Hiro Sotsugyou-hen;Other;2013;4.28
JoJo's Bizarre Adventure: Phantom Blood;Movie;2007;4.28
My Teen Romantic Comedy SNAFU TOO! OVA;OVA;2016;4.28
From Up On Poppy Hill;Movie;2011;4.27
Seitokai Yakuindomo* OVA;OVA;2014;4.27
Romeo no Aoi Sora;TV;1995;4.27
One Piece: Strong World - Episode 0;OVA;2010;4.27
Psycho-Pass: The Movie;Movie;2015;4.27
Gosick;TV;2010;4.27
Detective Conan Movie 10: The Private Eyes' Requiem;Movie;2006;4.27
Mobile Suit Gundam: Iron-Blooded Orphans;TV;2015;4.27
Snow White with the Red Hair OVA;OVA;2016;4.27
Run with the Wind;TV;2018;4.27
The Melancholy of Haruhi Suzumiya;TV;2006;4.27
New Initial D Movie: Legend 2 - Tousou;Movie;2015;4.27
Classroom of the Elite;TV;2017;4.27
Ushio and Tora TV (2016);TV;2016;4.27
Kakegurui 2nd Season;TV;2019;4.27
Initial D;TV;1998;4.27
One-Punch Man Specials;DVD Special;2015;4.27
Lovely Complex;TV;2007;4.27
My Roommate is a Cat;TV;2019;4.27
New Initial D Movie: Legend 3 - Mugen;Movie;2016;4.27
Durarara!! Specials;DVD Special;2010;4.27
Touhou Gensou Mangekyou: The Memories of Phantasm;Other;2011;4.26
When They Cry: Higurashi;TV;2006;4.26
Master Keaton OVA;OVA;1999;4.26
Sekai-ichi Hatsukoi: World's Greatest First Love OVA;OVA;2011;4.26
Alderamin on the Sky;TV;2016;4.26
School Babysitters;TV;2018;4.26
Jormungand;TV;2012;4.26
Planetarian Movie: Hoshi no Hito;Movie;2016;4.26
Days 2nd Season;OVA;2018;4.26
Lupin III vs Detective Conan: The Movie;Movie;2013;4.26
Ace of the Diamond;TV;2013;4.26
Prince of Tennis: National Championship Semifinal;OVA;2007;4.26
Blue Exorcist;TV;2011;4.26
Sket Dance OVA;OVA;2013;4.26
Paprika;Movie;2006;4.26
Detective Conan Movie 19: The Hellfire Sunflowers;Movie;2015;4.26
Mobile Suit Gundam 08th MS Team;OVA;1996;4.26
Yuri!!! on Ice: Welcome to The Madness;DVD Special;2017;4.26
Slam Dunk;TV;1993;4.26
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up);DVD Special;2017;4.26
Log Horizon 2;TV;2014;4.26
Aria the Natural;TV;2006;4.25
Saiunkoku Monogatari 2nd Series;TV;2007;4.25
Modest Heroes;Movie;2018;4.25
Detective Conan Movie 4: Captured In her Eyes;Movie;2000;4.25
Hana-Saku Iroha: Home Sweet Home;Movie;2013;4.25
Break Blade Movie 1: Kakusei no Toki;Movie;2010;4.25
Initial D Third Stage;Movie;2001;4.25
Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem;Movie;2003;4.25
Prince of Tennis - National Championship;OVA;2006;4.25
Wolf's Rain OVA;OVA;2004;4.25
Persona 3 The Movie 4: Winter of Rebirth;Movie;2016;4.25
